id,__v,_id,name,type,onMap,overX,overZ,owner,isBank,radius,isCourt,netherX,netherZ,dateFrom,isOffice,createdAt,updatedAt,colorNether,description,isProhibition
1314,0,6647bbde25da733432a32866,Огород,База,false,-24154,-3274,kapystik,false,1000,false,-3019,-408,17.05.2024,false,2024-05-17T20:19:42.984Z,2024-05-17T20:23:31.951Z,blue,<p>Просто личная база игрока kapystik</p>,false
1313,0,66438f9d25da733432a317bf,Аванпост - Ноль,База,false,-30706,-9608,Mr_Zabeiaka,false,2000,false,-3839,-1202,14.05.2024,false,2024-05-14T16:21:49.669Z,2024-05-14T16:21:49.669Z,blue,"<p>Место промышленной добычи ресурсов, находящиеся под контролем Колонии ""B.C.243.a</p>",false
1312,0,66423c8025da733432a30e9b,Дача,База,false,12407,-26037,fliri_lime,false,1000,false,1550,-3254,13.05.2024,false,2024-05-13T16:14:56.763Z,2024-05-13T16:14:56.763Z,red,<p>дача флири лайма</p>,false
1311,0,6642159a25da733432a30c35,База Грибвиля,База,false,11500,5300,1ev_,false,500,false,1440,660,13.05.2024,false,2024-05-13T13:28:58.904Z,2024-05-13T13:28:58.904Z,green,<p>Личная база игрока 1ev_</p>,false
1310,0,6642116625da733432a30beb,Эквестрия,Город,false,-9700,9700,sh1zukA11,false,2000,false,-1200,1200,13.05.2024,false,2024-05-13T13:11:02.658Z,2024-05-13T13:11:02.658Z,yellow,<p>Полнолстью перестроенная карта Эквестрии из мульт-сериала MLP.</p>,false
1309,0,66410fbb25da733432a30672,_VolTar_,База,false,-28812,-6284,_VolTar_,false,500,false,-3617,-773,12.05.2024,false,2024-05-12T18:51:39.466Z,2024-05-12T18:51:39.466Z,blue,<p>-</p>,false
1308,0,6640f1de25da733432a30474,Новоперделкино,База,false,2550,16970,bogdannewbalance,false,500,false,318,-2122,12.05.2024 ,false,2024-05-12T16:44:14.995Z,2024-05-12T16:44:14.995Z,red,<p>-</p>,false
1307,0,6640a7e325da733432a301a4,База L0L0R,База,false,-22700,-33611,L0L0R,false,1000,false,-2835,-4200,12.05.2024,false,2024-05-12T11:28:35.040Z,2024-05-12T11:28:35.040Z,red,<p>База</p>,false
1306,0,663f99f225da733432a2f9a7,BusyCity,Город,false,20000,14000,Heleg,false,1000,false,2431,1750,09.05.2024,false,2024-05-11T16:16:50.179Z,2024-05-11T16:16:50.179Z,green,"<p>Город, наполненный бизнес-центрами, офисами, заводами и так далее.</p>",false
1305,0,663f5f0d25da733432a2f64a,ТипоЯма,База,false,4280,240,Super_Klepa,false,1000,false,525,86,11.05.2024,false,2024-05-11T12:05:33.591Z,2024-05-11T12:05:33.591Z,green,<p>Жеские забиверы с 2b2t</p>,false
1304,0,663e4e7325da733432a2ec24,Хайп База,База,false,-24683,-3792,mrkorzhik,false,1000,false,-3086,-470,10.05.2024,false,2024-05-10T16:42:27.579Z,2024-05-10T16:42:27.579Z,blue,"<p>Огромнй элитный дом, много автоферм, есть ферма со спавнерами, большая территория для простора мыслей</p>",false
1303,0,663cdf8725da733432a2e4fe,Базамбосс Slaut1x,База,false,-34262,4206,Slautix,false,1500,false,-4285,547,08.05.2024,false,2024-05-09T14:36:55.189Z,2024-05-09T14:36:55.189Z,blue,<p>Место жительства соло тюбика</p>,false
1301,0,663cb0c425da733432a2e363,Лаборатория Jabi,База,false,-19880,-3815,Jabochca_Soviet,false,2000,false,-2500,-12,09.05.2024,false,2024-05-09T11:17:24.996Z,2024-05-09T11:17:24.996Z,blue,"<p>Лучшая яма, которую когда либо</p><p>видел белый свет. </p><p>Аве Верден!</p><p></p>",true
1300,0,663bb0f725da733432a2d814,Пупупу,База,false,-5347,-11224,EterN1aLMoyKotik,false,1000,false,-668,-1402,08.05.2024,false,2024-05-08T17:05:59.273Z,2024-05-08T17:25:07.673Z,red,<p>Вау чё реал внатуре</p>,false
1299,0,663b5df425da733432a2d07b,"Каменоломня ""TF2""",База,false,3400,-7500,mrKAMEH,false,300,false,425,-937,08.05.2024,false,2024-05-08T11:11:48.047Z,2024-05-08T11:11:48.047Z,red,<p>Копай камень</p><p> Сдавай камень</p><p> Получай ары или</p><p> другие штуки</p>,false
1298,0,663a694c25da733432a2ce7b,Актиний,Город,false,18254,-3615,Loma2000,false,1000,false,2282,452,14.10.23,false,2024-05-07T17:47:56.779Z,2024-05-07T17:47:56.779Z,green,<p>-</p>,false
1297,0,663a668925da733432a2ce6b,Дертонскай,Город,false,-189,-9565,_StarkOff_,false,200,false,-14,-1198,07.05.2024,false,2024-05-07T17:36:09.799Z,2024-05-07T17:36:09.799Z,red,<p>Миленький городок с добреньким коллективом и красивой архитектурой</p>,false
1296,0,6639272425da733432a2c546,База Тори,База,false,16441,1641,Lookkiller,false,2000,false,2061,165,06.05.2024,false,2024-05-06T18:53:24.658Z,2024-05-06T18:53:24.658Z,green,"<p>Да здравствует особняки мени Тори, довольно большой и дорогой. 52 нашим</p>",false
1295,0,6639256325da733432a2c537,Вильсант,База,false,11200,21600,Skorvod,false,2000,false,1400,2698,06.05.2024,false,2024-05-06T18:45:55.791Z,2024-05-06T18:45:55.791Z,yellow,<p>Моя база. Большая часть находится в незере. ПРИЗНАЮ ТЕРРИТОРИЮ АДА В РАДИУСЕ 250 БЛОКОВ (2000 : 8) МОЕЙ. И ХАЙПЕРЛУПА ТОЖ МОЯ.</p>,false
1294,0,663923cc25da733432a2c516,ZомбиOптимусVлад,База,false,11908,4391,Vakinjopas,false,500,false,1488,549,06.05.2024,false,2024-05-06T18:39:08.179Z,2024-05-06T18:39:08.179Z,green,<p>чекай название</p>,false
1293,0,6639229025da733432a2c507,Тайтон,База,false,1000,28500,_Koja,false,998,false,125,3560,06.05.2024,false,2024-05-06T18:33:52.499Z,2024-05-06T18:33:52.499Z,yellow,"<p>Город в стиле ""Звёздные войны"" Планета на которой появились первые джедаи и так же здесь основали ""Орден джедаев""</p>",false
1292,0,6638e5b025da733432a2c332,CRISTALIX CITY,Город,false,-3957,3112,Cristalix_gg,false,200,false,-493,392,06.05.2024,false,2024-05-06T14:14:08.335Z,2024-05-06T14:14:08.335Z,blue,<p>САМыЙ пиздатый city ever</p>,false
1291,0,6637b96c25da733432a2b859,Кур-де-Фонтейн ЮЗ+,База,false,-20000,26000,DizWasTaken,false,2000,false,-2500,3250,05.05.2024,false,2024-05-05T16:53:00.464Z,2024-05-05T16:53:00.464Z,yellow,"<p>Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости</p>",false
1290,0,66351d1b25da733432a29303,Backrooms,База,false,33673,1618,ArtBo,false,200,false,4219,209,03.05.2024,false,2024-05-03T17:21:31.578Z,2024-05-03T17:21:31.578Z,green,"<p>бесконечные коридоры, много </p><p>уровней... база в стиле закулисья</p>",false
1289,0,663417d9882b87aaea0a89b1,Правило трех сигм,Город,false,14400,11120,Ustaz1505,false,650,false,1825,1390,03.05.2024,false,2024-05-02T22:46:49.892Z,2024-05-02T22:46:49.892Z,green,<p>База трех прикольных игроков</p>,false
1288,0,662f9063882b87aaea0a6f18,LanlokBase,База,false,-4316,-465,Lanlok,false,100,false,-540,-56,29.04.2024,false,2024-04-29T12:19:47.445Z,2024-05-05T06:52:01.110Z,blue,<p>База Lanlok'a. Хотя скорее склад</p>,false
1287,0,662e5fec882b87aaea0a6a89,Кур-де-Фонтейн ЮВ,База,false,-14000,24000,DizWasTaken,false,2000,false,-1750,3000,28.04.2024,false,2024-04-28T14:40:44.258Z,2024-04-28T14:41:35.318Z,yellow,"<p>Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости</p>",false
1286,0,662e5f44882b87aaea0a6a52,Кур-де-Фонтейн ЮЗ,База,false,-18000,24000,DizWasTaken,false,2000,false,-2250,3000,28.04.2024,false,2024-04-28T14:37:56.824Z,2024-04-28T14:37:56.824Z,yellow,"<p> Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости</p>",false
1285,0,662e5ed0882b87aaea0a6a34,Кур-де-Фонтейн СВ,База,false,-14000,20000,DizWasTaken,false,2000,false,-1750,2500,28.04.2024,false,2024-04-28T14:36:00.940Z,2024-04-28T14:36:00.940Z,yellow,"<p>Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости</p>",false
1284,0,662e5de1882b87aaea0a69d4,Кур-де-Фонтейн СЗ,База,false,-18000,20000,DizWasTaken,false,2000,false,-2250,2500,28.04.2024,false,2024-04-28T14:32:01.835Z,2024-04-28T14:32:01.835Z,yellow,"<p>Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости</p>",false
1283,0,662e36f5813cda8eede06fba,Башня Магов,База,false,494,-1141,LKGF,false,100,false,3,-94,28.04.2024,false,2024-04-28T11:45:57.442Z,2024-04-28T11:45:57.442Z,red,<p>База LKGF и <em>FluruS</em></p><p>выполненная в стиле</p><p>2-ух магических башен</p>,false
1282,0,662e293f813cda8eede06efc,ЗВ 3000,База,false,23513,-4927,semeone,false,500,false,2905,-635,28.04.2024,false,2024-04-28T10:47:27.947Z,2024-04-28T10:47:27.947Z,green,<p>запретка</p>,false
1281,0,662a9cb8813cda8eede0608b,TNS,База,false,-4862,21657,BetaTrail,false,1000,false,-616,2700,25.04.2024,false,2024-04-25T18:11:04.684Z,2024-04-25T18:11:04.684Z,yellow,<p>каво? деда</p>,false
1280,0,662a7fad813cda8eede05eb0,МЭШленд,Город,false,-284,-9212,Bomberiks,false,67,false,-22,-1148,25.04.2024,false,2024-04-25T16:07:09.723Z,2024-04-25T16:07:09.723Z,red,"<p>Обычный маленький пещерный городок для крыс,мышей. Обычно туда заселяются исключительно мыши/крыси, другим запрет.</p>",false
1279,0,662a3ba832a0e46ecfa9630f,Dopamine Hotel,Город,false,-26009,81,Bulat_SP,false,100,false,-3245,16,25.04.2024,false,2024-04-25T11:16:56.594Z,2024-04-25T11:16:56.594Z,blue,"<p>Отель Dopamine, позволит вам иметь жильё, по очень демократичным ценам иметь место, где вы можете остаться на сколько вы Пожелаете!</p>",false
1278,0,6628001332a0e46ecfa95971,Багровая база,База,false,-8149,-1098,Hi_Haiden,false,38,false,-1019,-137,23.04.2024,false,2024-04-23T18:38:11.938Z,2024-04-23T18:38:11.938Z,blue,<p>База общежитие для нуждающихся</p>,false
1276,0,6625024a22168739df8df242,SnowLand,Город,false,4397,-30465,Ckrasti_,false,1100,false,549,-3808,21.04.2024,false,2024-04-21T12:10:50.900Z,2024-04-21T12:10:50.900Z,red,<p>Снежный город</p>,false
1275,0,6624d9fe22168739df8def09,Домик,База,false,22500,-24500,Evka0vevkov1ch,false,2000,false,2812,-3062,21.04.2024,false,2024-04-21T09:18:54.383Z,2024-04-21T09:18:54.383Z,red,<p>Тихий уголок про который никто не узнает...</p>,false
1274,0,6624d76422168739df8dee85,Складовская,База,false,17522,1449,Jake81i,false,250,false,2190,181,21.04.2024,false,2024-04-21T09:07:48.409Z,2024-04-21T09:09:41.510Z,green,<p>База</p>,false
1273,0,6620053f22168739df8ddb83,Типо тера,База,false,5297,-10683,Super_Klepa,false,600,false,649,-1327,17.04.2024,false,2024-04-17T17:22:07.044Z,2024-04-17T17:22:07.044Z,red,<p>Яма</p>,false
1272,0,661ec9327389a669e4fd8bfe,Wirevor Град,Город,false,-13559,7953,Wirevor,false,1000,false,-1698,995,16.04.2024,false,2024-04-16T18:53:38.552Z,2024-04-16T18:53:38.552Z,blue,<p>Город</p>,false
1271,0,661eaafd7389a669e4fd8aaf,База Капустика,База,false,-33490,3732,kapystik,false,500,false,-4186,0,16.04.2024,false,2024-04-16T16:44:45.203Z,2024-04-16T16:44:45.203Z,blue,<p>Огород</p>,false
1270,0,661d30697389a669e4fd7e02,Территория BellaDNCat,База,false,4000,8400,BellaDNCat,false,500,false,499,1050,15.04.2024,false,2024-04-15T13:49:29.120Z,2024-04-15T13:49:29.120Z,yellow,<p>Территория Жеских друзей</p>,false
1269,0,661ade4d7389a669e4fd5bc8,Свэээгград,Город,false,-13960,-16950,MrKulebyak,false,1400,false,-1745,-2118,13.04.2024,false,2024-04-13T19:34:37.238Z,2024-04-13T19:34:37.238Z,red,<p>Свэээээээээг</p>,false
1268,0,661adc627389a669e4fd5b9f,Кур-де-Фонтейн,Город,false,-16000,22000,DizWasTaken,false,2000,false,-2000,2750,14.04.2024,false,2024-04-13T19:26:26.717Z,2024-04-13T19:26:26.717Z,yellow,"<p>Один из семи регионов Тейвата. Это королевство, поклоняющееся Фокалорс, Гидро Архонту и богине Справедливости </p>",false
1267,0,661ad8c27389a669e4fd5b76,Гиперборея,Город,false,4438,20386,Animun4ik,false,1500,false,544,2553,14.04.2024,false,2024-04-13T19:10:58.651Z,2024-04-13T19:10:58.651Z,yellow,"<p>Великий</p><p>город Вед и ариев.</p><p>Блинолопатные праздники, славление</p><p>бога Пердуна и защита родины от</p><p>Ящеров!!!</p>",false
1266,0,66185a21bb54e31d25d99e75,777,Город,false,2240,-6300,Mozzit,false,200,false,280,-787,12.04.2024,false,2024-04-11T21:46:09.561Z,2024-05-06T16:20:42.100Z,red,<p>-</p>,false
1265,0,66181ef0bb54e31d25d99afe,Ыаыаэв,База,false,-6327,-32261,Budashka,false,1000,false,-781,-4029,11.04.2024,false,2024-04-11T17:33:36.573Z,2024-04-11T17:33:36.573Z,red,<p>Тут есть место в океане где всего на 1 блок равнина</p>,true
