,,,,,,,,,,
,,,,,,,,,,
№,РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ БАЗ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ),,,,,,,,,
,ОБЩАЯ ХАРАКТЕРИСТИКА,,,КООРДИНАТЫ,,,,,РЕГИСТРАЦИЯ ТЕРРИТОРИИ,
,,,,Верхний мир,,,Нижний мир,,,
,Название,Описание,Владелец,X,Z,Радиус,X,Z,Дата,Ссылка на пост
1,Частная территория,Територия  пренадлежащая AlESlS,AlESlS,-1350,-8200,500,-170,-1020,13.06.2022,https://vk.com/gepe5?w=wall-131054616_86218%2Fall
2,4E4land,"моя база находится на территории сгенерированной ямы в джунглях. Я не против заселения на терру, лишь бы вы написали мне об этом где-нибудь, на самой территории я строю арты и прочие вещи. ",deniskor148,7501,7513,2000,948,939,03.06.2022,https://vk.com/wall-131054616_84363
3,Дача Тиджета,Дача игрока TiJet_,TiJet_,-3960,1255,200,-495,156,03.06.2022,https://vk.com/wall-131054616_86223
4,Крепость Медных врат,Адская крепость города медные врата,Ricki_Red,-,-,-,1359,-66,06.06.2022,https://vk.com/wall-131054616_85253
5,Территория LeluShh,Яма. Просто яма.,LeluShh,4750,8600,500,593,1075,05.06.2022,https://vk.com/topic-131054616_48663772?post=3462
6,Территория Фонда,Без описания.,Mr_Tonitro,-4400,8800,500,-550,1100,05.06.2022,https://vk.com/topic-131054616_48663772?post=3476
7,Тардис,Ну карочи абобка такая пришла и сказала гена бань его бань бань бух бух бах бах бум бум и потом кароче щя окно закрою ну и все хватит на сегодня.,AlekeywchQvber,-3322,4426,1000,-415,552,03.06.2022,vk.com/wall-131054616_83957
8,Эребор,Без описания.,_MRavent,5469,10773,-,676,1346,04.06.2022,
9,Project G.O.R.A,"G.O.R.A. - комплекс ферм с красивейшим оформлением, продуманой логиcтикой и РП историей. G.O.R.A. - не просто фермы",LEFSIZ,-3700,4600,1000,-462,575,04.06.2022,https://vk.com/topic-131054616_48663772?post=3142
10,Концлагерь для военнопленных,"домики, фермы и зажигательные вечеринки. Терра закрытая",Pandoch,110,6650,1000,15,835,04.06.2022,https://vk.com/topic-131054616_48663772?post=3165
11,Терлиза,Без описания.,_kirl,4892,-1335,2000,600,-158,03.06.2022,https://vk.com/gepe5?w=wall-131054616_83850%2Fall
12,ТРСП,"Владения ТРСП - Место, где люди могут приятно провести время, найти себе новых друзей или знакомых, а так же принять участие во множестве ролеплей-ивентах и различных событиях, происходящих в ТРСП каждый день.",Qugerts_,13200,-4400,1000,1650,-550,03.06.2022,https://vk.com/wall-131054616_83924
13,ТипоЯма,Лютые забиверы с 2b2t,_kirl,4280,240,1000,535,30,06.06.2022,https://vk.com/topic-131054616_48663772?post=3648
14,Яма Борова,"База компании друзей, которая переняла название с СП4",Borov_TF,-1900,-3300,2000,-200,-407,08.06.2022,https://vk.com/topic-131054616_48663772?post=3773
15,База випса,"на этой территории живет випс, жесткий кент, он там снимает видосы, делает контент, стримит, набирает друзей в садовое содружество и кайфует",VIPSSS,6350,-8540,1000,790,-1075,05.06.2022,https://vk.com/topic-131054616_48663772?post=3440
16,Ahue,Без описания.,Ogryzok,10404,10004,2000,1297,1241,08.06.2022,https://vk.com/topic-131054616_48663772?post=3726
17,Территория Vilka1909,"Территория для построек, ферм и т.д.",Vilka1909,8132,8437,1000,1020,1063,03.06.2022,https://vk.com/gepe5?w=wall-131054616_84061%2Fall
18,Mypale,"Развлекательный центр вашей мечты, в котором вы сможете прекрастно провести время с друзьями, а если их нет, то найти их здесь же!",Meroyy,1000,-5500,150,111,-666,03.06.2022,https://vk.com/topic-131054616_48663772?post=3082
19,"База ""Припять-17""",Внимание! Вы находитесь возле закрытого периметра Зоны экологического бедствия!  ,stalk3ro4ek,-860,-5430,350,-111,-705,15.06.2022,https://vk.com/wall-131054616_86277
