												
												
№	РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ)											
	ОБЩАЯ ХАРАКТЕРИСТИКА				КООРДИНАТЫ					РЕГИСТРАЦИЯ ТЕРРИТОРИИ		
					Верхний мир			Нижний мир				
	Название	Описание	Владелец	5 жителей	X	Z	Радиус	X	Z	Дата	Ссылка на пост	Добавление на карту
1	Трард	Trard - город красоты и свободы! Мы ценим комфорт наших дорогих жителей и гостей города, это проявляется во всём: начиная от удобства инфраструктуры и заканчивая качеством общественных пространств. Всё ради того, чтобы игрокам было удобно находится в Трарде!	_Debatra_		2000	-2000	2000	222	-271	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83820	TRUE
2	Otso City	Cтолица страны.	5opka		-15	3990	2000	5	512	03.06.2022		TRUE
3	Saint Desten	Без описания.	Qu1ns		-2000	-2000	2000	-222	-233	03.06.2022	https://vk.com/wall-131054616_83824	TRUE
4	АРИБЕЙЛ	Арибейл - небольшой уютный городок,полный множества удивительных построек расположенных в скалистой местности. выполнен в стиле игры Stardew Valley	Dorecha		-2000	-600	2000	770	-75	03.06.2022		TRUE
5	Berner Stadt	Berner Stadt (Город Берн) - это уютный городок в стиле Швейцарии 20-го века. Красивые улицы, роскошные сады и изящные здания - всё это здесь.	Efreiter		4419	1528	1600	550	191	03.06.2022	https://vk.com/topic-131054616_48663772?post=2863	TRUE
6	Юндон	Наш город - это город исконно корейской тематики, мы являемся центром культуры и науки. Наш город построен в прекрасном и незабываемом стиле, а жители - самые трудолюбивые и почтительные.	KairZZZ		-10400	1600		-1299	200	03.06.2022	https://vk.com/wall-131054616_84040	TRUE
7	RedLand	Город, построенный из редстоуна и тёмных блоков, скрывающий силу механизмов. 	Defer02		2700	1250	1500	340	154	03.06.2022	https://vk.com/topic-131054616_48663772?post=3027	TRUE
8	Ranzer	Древний затеряный город	Eestilane		-2665	5213	2000	-344	641	03.06.2022	https://vk.com/wall-131054616_83962	TRUE
9	Стальгорн 	Один из самых известных городов дворфов/гномов в жанре фэнтези, появившийся во вселенной World Of Warcraft. И наша задача не отходить от той атмосферы веселья и задора, которыми наполнена жизнь и архитектура дворфов. Но мы приветствуем в нашем городе людей всех мастей и любых предпочтений. Можете чувствовать себя, как дома, главное - заплатите, как следует, трактирщику в таверне. 	Juan__Edwardo		4820	3705	2000	599	470	04.06.2022	https://vk.com/topic-131054616_48663772?post=3126	TRUE
10	Ковчег	Без описания.	Enotis_		-1320	-4056	2000	-165	-507	03.06.2022	https://vk.com/wall-131054616_83830	TRUE
11	ОКО	Город рп организации. Делится на две части: надземная (здание склада, переговоров, столовая и т.д.) и подземная часть - это научный бункер (и фермы).	PRIMUS__		-6740	6555	1000	-842	824	03.06.2022	https://vk.com/topic-131054616_48663772?post=3077	TRUE
12	BpoDeClan	BpoDeClan	5opka		-3000	800	750	-375	100	13.06.2022	https://vk.com/topic-131054616_48663772?post=3931	TRUE
13	Каэр Морхен	 Ведьмачья твердыня	Fractal1s		-3400	2768	1000	-425	344	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83989%2Fall	TRUE
14	Сёгунат	Город торговли и капитализма	psina_sytylaya		0	5850	1000	5	731	03.06.2022	https://vk.com/wall-131054616_86205	TRUE
15	Мультикор	Яркий город в стилистике футуризма и фэнтези. Главная особенность дизайна - разнообразный градиент на крышах. 	Katyu6ka		1840	7725	1000	232	974	03.06.2022	https://vk.com/topic-131054616_48663772?post=3039	TRUE
16	Верден	Красивейший город в стиле классицизма.	frizy		1703	2798	2000	212	358	03.06.2022	https://vk.com/gepe5?z=photo-131054616_457250616%2Fwall-131054616_83843	TRUE
17	ЛайтГраунд (Опечатано ФБР)	Испанский город, основаный на месте бывшего родника. на данный момент город терраформирован и фосстановлен и готов для проживания 	5opka		-8427	1884	1000	-1078	231	04.06.2022	https://vk.com/wall-131054616_86210	TRUE
18	МЕРЗЕРИЯ	ААААААААААААААА	Mer3er		-7800	7900	300	-966	977	04.06.2022	https://vk.com/topic-131054616_48663772?post=3223	TRUE
19	ЗАБАН	Терра ЗАБАНа с огромной башней!	Dizakt	Да	3015	891	1000	366	111	03.06.2022	https://vk.com/topic-131054616_38491668?post=2699	TRUE
20	Ария	Прекрасный город с двумя районами. Первый - в стиле деревушки и второй в стиле кибер-панка	Zhenyaa		-6230	860	1000	-777	104	03.06.2022	https://vk.com/wall-131054616_83966	TRUE
21	Коняра	Маленький город с крутыми конями	Pauchek		1286	13488		160	1674			TRUE
22	Сейрейтей	Город основанный на крепости защищающей общество душ, загробный мир из аниме Bleach. Город представляет саму крепость Сейрейтей и общество душ	Kindrise		-3551	-6766	1500	-447	-847	05.06.2022	https://vk.com/wall-131054616_84824	TRUE
23	 Хутакпаз Сити	Лютый город One Piece	Tilt_Ss		-4070	1650	2000	-500	200	08.06.2022	https://vk.com/topic-131054616_48663772?post=3733	TRUE
24	Пацифика	Мир, дружба, жвачка	Major4ik_		-5100	10226	1000	-627	1245	13.06.2022	https://vk.com/gepe5?w=wall-131054616_86172	TRUE
25	FireCity	FireCity это город, живший в прошлом на песках, превратившийся в прекрасный и богатый город из-за своей интересной истории. Стиль Дубай. Наша цель - роскош и комфорт	Verbluyzhonok		0	2000	спор	-71	276	03.06.2022	https://vk.com/wall-131054616_83858	TRUE
26	Такахули	Город полностью серьезный, инициатива класс, город шахтеров, дровосеков и других профессий людей, которые получают зарплату раз в год ввиде водки. Работа без зп - это по мужски. Ну а хули - Такахули!	Kolya_gfx		3000	5000	2000	191	640	03.06.2022	https://vk.com/wall-131054616_83941	TRUE
27	spworlds	Город разрабов сайта	uuuuuno		-355	1724	1000	-50	222	03.06.2022	https://vk.com/wall-131054616_83835	TRUE
28	Нефтекунск	Город в стиле ретровейв	Slaffneft		1978	4342	2000	246	530	03.06.2022	https://vk.com/topic-131054616_48663772?post=3079	TRUE
29	Алькор	Различные постройки и структуры выполнены в стиле футуризма, а если быть точнее, то затронута тема космоса. В нашем городе вы сможете полностью погрузится в данную тематику. Вы станете путешественником от планеты к планете.	wacom_585	Да	-2000	2000	2000	-164	255	03.06.2022	https://vk.com/gepe5?w=wall-131054616_83832	TRUE
30	Мегаполис СССП	делится на 17 районов. 	FInch_94		8000	0	2000	1000	250	03.06.2022	https://vk.com/wall-131054616_83853	TRUE
31	KingSiti	Современый и дружный город, приходите отдыхайте, покупайте!	gnomuc		2641	-7423	-	5	-926	-	-	TRUE
32	Акихабара	Выходцы из бедных районов скоро задавят вас своим авторитетом.	Hamayumi7	Есть	-4256	2680	1500	-525	333	03.06.2022	https://vk.com/wall-131054616_84057	TRUE
33	Argalis	Таинственный волшебный город фей, со своей историей и лором. Все феи отличались друг от друга: цвет кожи , гендер , половой признак и интересы. Стиль: Подземный Мегаполис , в друидском стиле.	Cmetanochkaa		6666	-2666	2000	860	-333	03.06.2022	https://vk.com/wall-131054616_83916	TRUE
